protein,replID,treatment,timeID,timeAfterExposure,dose_uM,dose_uMadj,timepoints,data4modelInterpol,data4modelReal
BTG2,1,CDDP,1,0.8,1,1,1,0.014123668139908212,0.020140947449729423
BTG2,1,CDDP,2,2.3,1,1,2.5,0.014776120995753421,0.009262968293476002
BTG2,1,CDDP,3,3.8,1,1,4,0.01593280612161511,0.013911601132879236
BTG2,1,CDDP,4,5.3,1,1,5.5,0.017587531979592563,0.01767004611645452
BTG2,1,CDDP,5,6.8,1,1,7,0.019734107031785072,0.016271174543723718
BTG2,1,CDDP,6,8.3,1,1,8.5,0.022366339740291914,0.02296132305296217
BTG2,1,CDDP,7,9.8,1,1,10,0.025478038567212372,0.022223611617254394
BTG2,1,CDDP,8,11.3,1,1,11.5,0.029063011974645742,0.028896265614134352
BTG2,1,CDDP,9,12.8,1,1,13,0.033115068424691294,0.031840798437607086
BTG2,1,CDDP,10,14.3,1,1,14.5,0.037628016379448334,0.03825886095110156
BTG2,1,CDDP,11,15.8,1,1,16,0.04259566430101613,0.045350591106692914
BTG2,1,CDDP,12,17.3,1,1,17.5,0.04801182065149397,0.05399553566504093
BTG2,1,CDDP,13,18.8,1,1,19,0.05386972964071707,0.06123928284286476
BTG2,1,CDDP,14,20.3,1,1,20.5,0.060138375506453935,0.05894887231122323
BTG2,1,CDDP,15,21.8,1,1,22,0.06675381296178438,0.0649441090560741
BTG2,1,CDDP,16,23.3,1,1,23.5,0.07364974765511062,0.07239101462894959
BTG2,1,CDDP,17,24.8,1,1,25,0.08075988523483484,0.07268574054677913
BTG2,1,CDDP,18,26.3,1,1,26.5,0.0880179313493592,0.08584536644842962
BTG2,1,CDDP,19,27.8,1,1,28,0.09535759164708592,0.08567296834777895
BTG2,1,CDDP,20,29.3,1,1,29.5,0.10271257177641721,0.10326698157194066
BTG2,1,CDDP,21,30.8,1,1,31,0.11001657738575522,0.1021402726602529
BTG2,1,CDDP,22,32.3,1,1,32.5,0.11720331412350217,0.11114990838299708
BTG2,1,CDDP,23,33.8,1,1,34,0.12420648763806028,0.12773733037749976
BTG2,1,CDDP,24,35.3,1,1,35.5,0.13095980357783166,0.13218896683983708
BTG2,1,CDDP,25,36.8,1,1,37,0.13739868391186225,0.13985798314169098
BTG2,1,CDDP,26,38.3,1,1,38.5,0.1434811245170895,0.14899549792646122
BTG2,1,CDDP,27,39.8,1,1,40,0.1491810350835398,0.15247905025727349
BTG2,1,CDDP,28,41.3,1,1,41.5,0.15447265835602536,0.1509553264992028
BTG2,1,CDDP,29,42.8,1,1,43,0.15933023707935856,0.15652759161277827
BTG2,1,CDDP,30,44.3,1,1,44.5,0.16372801399835152,0.16681819014476865
BTG2,1,CDDP,31,45.8,1,1,46,0.1676402318578166,0.1656631840490048
BTG2,1,CDDP,32,47.3,1,1,47.5,0.17104113340256605,0.17292384409415373
BTG2,1,CDDP,33,48.8,1,1,49,0.17390496137741215,0.17318083326422504
