"treatment"	"dose_uM"	"plateID"	"timeID"	"cell_line"	"replID"	"locationID"	"variable"	"value"
"CIS"	25	"Plate2"	"8"	"HepG2 WT"	"1"	"B02_1"	"imageCountParentObj"	334
"CIS"	25	"Plate2"	"8"	"HepG2 WT"	"1"	"B02_2"	"imageCountParentObj"	379
"CIS"	25	"Plate2"	"8"	"HepG2 WT"	"1"	"B02_3"	"imageCountParentObj"	276
"CIS"	25	"Plate2"	"8"	"HepG2 WT"	"1"	"B02_4"	"imageCountParentObj"	354
"CIS"	10	"Plate2"	"8"	"HepG2 WT"	"1"	"B03_1"	"imageCountParentObj"	361
"CIS"	10	"Plate2"	"8"	"HepG2 WT"	"1"	"B03_2"	"imageCountParentObj"	521
"CIS"	10	"Plate2"	"8"	"HepG2 WT"	"1"	"B03_3"	"imageCountParentObj"	282
"CIS"	10	"Plate2"	"8"	"HepG2 WT"	"1"	"B03_4"	"imageCountParentObj"	56
"CIS"	5	"Plate2"	"8"	"HepG2 WT"	"1"	"B04_1"	"imageCountParentObj"	201
"CIS"	5	"Plate2"	"8"	"HepG2 WT"	"1"	"B04_2"	"imageCountParentObj"	247
"CIS"	5	"Plate2"	"8"	"HepG2 WT"	"1"	"B04_3"	"imageCountParentObj"	317
"CIS"	2.5	"Plate2"	"8"	"HepG2 WT"	"1"	"B05_1"	"imageCountParentObj"	288
"CIS"	2.5	"Plate2"	"8"	"HepG2 WT"	"1"	"B05_2"	"imageCountParentObj"	211
"CIS"	2.5	"Plate2"	"8"	"HepG2 WT"	"1"	"B05_3"	"imageCountParentObj"	388
"CIS"	0	"Plate2"	"8"	"HepG2 WT"	"1"	"B06_1"	"imageCountParentObj"	304
"CIS"	0	"Plate2"	"8"	"HepG2 WT"	"1"	"B06_2"	"imageCountParentObj"	385
"CIS"	0	"Plate2"	"8"	"HepG2 WT"	"1"	"B06_3"	"imageCountParentObj"	623
"CIS"	25	"Plate2"	"2"	"HepG2 WT"	"1"	"B07_1"	"imageCountParentObj"	534
"CIS"	25	"Plate2"	"2"	"HepG2 WT"	"1"	"B07_2"	"imageCountParentObj"	474
"CIS"	25	"Plate2"	"2"	"HepG2 WT"	"1"	"B07_3"	"imageCountParentObj"	496
"CIS"	25	"Plate2"	"2"	"HepG2 WT"	"1"	"B07_4"	"imageCountParentObj"	156
"CIS"	10	"Plate2"	"2"	"HepG2 WT"	"1"	"B08_1"	"imageCountParentObj"	293
"CIS"	10	"Plate2"	"2"	"HepG2 WT"	"1"	"B08_2"	"imageCountParentObj"	502
"CIS"	10	"Plate2"	"2"	"HepG2 WT"	"1"	"B08_3"	"imageCountParentObj"	582
"CIS"	10	"Plate2"	"2"	"HepG2 WT"	"1"	"B08_4"	"imageCountParentObj"	507
"CIS"	5	"Plate2"	"2"	"HepG2 WT"	"1"	"B09_1"	"imageCountParentObj"	302
"CIS"	5	"Plate2"	"2"	"HepG2 WT"	"1"	"B09_2"	"imageCountParentObj"	356
"CIS"	5	"Plate2"	"2"	"HepG2 WT"	"1"	"B09_3"	"imageCountParentObj"	440
"CIS"	5	"Plate2"	"2"	"HepG2 WT"	"1"	"B09_4"	"imageCountParentObj"	501
"CIS"	2.5	"Plate2"	"2"	"HepG2 WT"	"1"	"B10_1"	"imageCountParentObj"	278
"CIS"	2.5	"Plate2"	"2"	"HepG2 WT"	"1"	"B10_2"	"imageCountParentObj"	463
"CIS"	2.5	"Plate2"	"2"	"HepG2 WT"	"1"	"B10_3"	"imageCountParentObj"	364
"CIS"	2.5	"Plate2"	"2"	"HepG2 WT"	"1"	"B10_4"	"imageCountParentObj"	419
"CIS"	0	"Plate2"	"2"	"HepG2 WT"	"1"	"B11_1"	"imageCountParentObj"	397
"CIS"	0	"Plate2"	"2"	"HepG2 WT"	"1"	"B11_2"	"imageCountParentObj"	358
"CIS"	0	"Plate2"	"2"	"HepG2 WT"	"1"	"B11_3"	"imageCountParentObj"	305
"CIS"	0	"Plate2"	"2"	"HepG2 WT"	"1"	"B11_4"	"imageCountParentObj"	622
"ETO"	50	"Plate2"	"8"	"HepG2 WT"	"1"	"C02_1"	"imageCountParentObj"	268
"ETO"	50	"Plate2"	"8"	"HepG2 WT"	"1"	"C02_2"	"imageCountParentObj"	333
"ETO"	50	"Plate2"	"8"	"HepG2 WT"	"1"	"C02_3"	"imageCountParentObj"	341
"ETO"	50	"Plate2"	"8"	"HepG2 WT"	"1"	"C02_4"	"imageCountParentObj"	414
"ETO"	25	"Plate2"	"8"	"HepG2 WT"	"1"	"C03_1"	"imageCountParentObj"	398
"ETO"	25	"Plate2"	"8"	"HepG2 WT"	"1"	"C03_2"	"imageCountParentObj"	466
"ETO"	25	"Plate2"	"8"	"HepG2 WT"	"1"	"C03_3"	"imageCountParentObj"	374
"ETO"	25	"Plate2"	"8"	"HepG2 WT"	"1"	"C03_4"	"imageCountParentObj"	463
"ETO"	5	"Plate2"	"8"	"HepG2 WT"	"1"	"C04_1"	"imageCountParentObj"	367
"ETO"	5	"Plate2"	"8"	"HepG2 WT"	"1"	"C04_2"	"imageCountParentObj"	369
"ETO"	5	"Plate2"	"8"	"HepG2 WT"	"1"	"C04_3"	"imageCountParentObj"	269
"ETO"	5	"Plate2"	"8"	"HepG2 WT"	"1"	"C04_4"	"imageCountParentObj"	514
"ETO"	1	"Plate2"	"8"	"HepG2 WT"	"1"	"C05_1"	"imageCountParentObj"	294
"ETO"	1	"Plate2"	"8"	"HepG2 WT"	"1"	"C05_2"	"imageCountParentObj"	311
"ETO"	1	"Plate2"	"8"	"HepG2 WT"	"1"	"C05_3"	"imageCountParentObj"	380
"ETO"	1	"Plate2"	"8"	"HepG2 WT"	"1"	"C05_4"	"imageCountParentObj"	358
"ETO"	0	"Plate2"	"8"	"HepG2 WT"	"1"	"C06_1"	"imageCountParentObj"	449
"ETO"	0	"Plate2"	"8"	"HepG2 WT"	"1"	"C06_2"	"imageCountParentObj"	264
"ETO"	0	"Plate2"	"8"	"HepG2 WT"	"1"	"C06_3"	"imageCountParentObj"	214
"ETO"	0	"Plate2"	"8"	"HepG2 WT"	"1"	"C06_4"	"imageCountParentObj"	432
"ETO"	50	"Plate2"	"2"	"HepG2 WT"	"1"	"C07_1"	"imageCountParentObj"	452
"ETO"	50	"Plate2"	"2"	"HepG2 WT"	"1"	"C07_2"	"imageCountParentObj"	404
"ETO"	50	"Plate2"	"2"	"HepG2 WT"	"1"	"C07_3"	"imageCountParentObj"	282
"ETO"	50	"Plate2"	"2"	"HepG2 WT"	"1"	"C07_4"	"imageCountParentObj"	519
"ETO"	25	"Plate2"	"2"	"HepG2 WT"	"1"	"C08_1"	"imageCountParentObj"	391
"ETO"	25	"Plate2"	"2"	"HepG2 WT"	"1"	"C08_2"	"imageCountParentObj"	578
"ETO"	25	"Plate2"	"2"	"HepG2 WT"	"1"	"C08_3"	"imageCountParentObj"	207
"ETO"	25	"Plate2"	"2"	"HepG2 WT"	"1"	"C08_4"	"imageCountParentObj"	450
"ETO"	5	"Plate2"	"2"	"HepG2 WT"	"1"	"C09_1"	"imageCountParentObj"	369
"ETO"	5	"Plate2"	"2"	"HepG2 WT"	"1"	"C09_2"	"imageCountParentObj"	264
"ETO"	5	"Plate2"	"2"	"HepG2 WT"	"1"	"C09_3"	"imageCountParentObj"	419
"ETO"	5	"Plate2"	"2"	"HepG2 WT"	"1"	"C09_4"	"imageCountParentObj"	502
"ETO"	1	"Plate2"	"2"	"HepG2 WT"	"1"	"C10_1"	"imageCountParentObj"	480
"ETO"	1	"Plate2"	"2"	"HepG2 WT"	"1"	"C10_2"	"imageCountParentObj"	529
"ETO"	1	"Plate2"	"2"	"HepG2 WT"	"1"	"C10_3"	"imageCountParentObj"	330
"ETO"	1	"Plate2"	"2"	"HepG2 WT"	"1"	"C10_4"	"imageCountParentObj"	453
"ETO"	0	"Plate2"	"2"	"HepG2 WT"	"1"	"C11_1"	"imageCountParentObj"	490
"ETO"	0	"Plate2"	"2"	"HepG2 WT"	"1"	"C11_2"	"imageCountParentObj"	380
"ETO"	0	"Plate2"	"2"	"HepG2 WT"	"1"	"C11_3"	"imageCountParentObj"	358
"ETO"	0	"Plate2"	"2"	"HepG2 WT"	"1"	"C11_4"	"imageCountParentObj"	498
"MIT"	45	"Plate2"	"8"	"HepG2 WT"	"1"	"D02_1"	"imageCountParentObj"	362
"MIT"	45	"Plate2"	"8"	"HepG2 WT"	"1"	"D02_2"	"imageCountParentObj"	514
"MIT"	45	"Plate2"	"8"	"HepG2 WT"	"1"	"D02_3"	"imageCountParentObj"	273
"MIT"	45	"Plate2"	"8"	"HepG2 WT"	"1"	"D02_4"	"imageCountParentObj"	254
"MIT"	15	"Plate2"	"8"	"HepG2 WT"	"1"	"D03_1"	"imageCountParentObj"	440
"MIT"	15	"Plate2"	"8"	"HepG2 WT"	"1"	"D03_2"	"imageCountParentObj"	250
"MIT"	15	"Plate2"	"8"	"HepG2 WT"	"1"	"D03_3"	"imageCountParentObj"	379
"MIT"	15	"Plate2"	"8"	"HepG2 WT"	"1"	"D03_4"	"imageCountParentObj"	474
"MIT"	7.5	"Plate2"	"8"	"HepG2 WT"	"1"	"D04_1"	"imageCountParentObj"	437
