,init_value,est_value
DD_init,15.0,20.686236117902716
P53P_init,1.0,1.7596079613313225
EC2,0.4591735290275498,2.6148250734575456
EC3,0.9035275554434135,6.907755278758145
tau1,0.05,0.03536076442585257
kd_dd,0.02,0.011460536706705802
k_dp,0.5054718930613833,0.9999999999757858
kd_p53,0.4717710823843747,0.03249107534613688
kd_p53p,0.06751062222067139,0.0019337917852643763
kd_p53_mdm2,0.40094779492941995,1.845374749210248e-06
kd_p53p_mdm2,0.4220685173050702,0.01831540180879803
ks_mdm2rna,0.03115615786873628,0.06530578781195699
ks_mdm2_p53p,0.5695916895160222,0.09652594268182825
ks_p21rna,0.6279759752142318,0.003567780663266302
ks_p21_p53p,0.23094888980628142,0.134547880986978
Km_mdm2,0.22565372020188076,1.5123243320399242
Km_p21,0.6089220897293407,4.578632515779259
Km_btg2,0.718626748514396,1.9448494561157266
ks_btg2rna,0.15360038993187133,0.03109198618942495
ks_btg2_p53p,0.09812213289401155,0.10774387546193703
sf_p53,0.10123057369493864,10.38795674637935
sf_mdm2,0.9169302629172784,3.05744857080448
sf_p21,0.22439181363787541,1.2557644255226237
sf_btg2,0.412760461395999,0.9010337794136668
offset_p53,0.1457011906448325,-28.614550686393088
offset_mdm2,0.16788951912322503,-2.9565328440702645
offset_p21,0.06479591333868104,-1.1984911272446905
offset_btg2,0.25380068272797474,-0.887090427754663
ks_dd,0.3,0.41715970558915577
ks_p53rna,1.0,1.0
k_p,0.06633673550580832,0.08678420730167019
ks_p53,1.3622980168395362,0.06812356297953752
kd_mdm2rna,0.5992748260007422,0.12775575485772905
ks_mdm2,1.0,1.0
kd_p21rna,0.8310111183616756,0.006440054550062215
ks_p21,1.0,1.0
kd_btg2rna,0.2310635500435802,0.07432124772042856
ks_btg2,1.0,1.0
